transaction_id,order_date,customer_id,product_id,product_category,quantity,unit_price,discount,revenue,region,sales_channel,customer_type
128024,2023-01-07,9723,5410,Toys & Games,5,83.75,0.0,418.75,East,Offline,Returning
112259,2023-01-07,9826,5160,Health & Wellness,1,292.28,0.0,292.28,South,Online,New
107360,2023-01-07,8997,5445,Beauty & Personal Care,1,83.91,0.15,71.32,West,Online,Returning
122545,2023-01-07,1691,5204,Books,2,16.48,0.0,32.96,South,Offline,Returning
118867,2023-01-07,4057,5169,Grocery,6,27.56,0.0,165.36,North,Online,New
137182,2023-01-07,3062,5019,Office Supplies,3,87.68,0.15,223.58,South,Online,Returning
119950,2023-01-08,5073,5186,Health & Wellness,2,281.02,0.0,562.04,West,Online,Returning
129864,2023-01-08,3891,5206,Home & Kitchen,1,443.63,0.05,421.45,East,Offline,Returning
101167,2023-01-08,10073,5141,Health & Wellness,1,59.11,0.15,50.24,South,Offline,New
109216,2023-01-08,6994,5310,Pet Supplies,1,94.8,0.2,75.84,South,Offline,Returning
149266,2023-01-08,1805,5339,Clothing,2,55.77,0.0,111.54,West,Online,Returning
100495,2023-01-08,1591,5041,Pet Supplies,2,130.28,0.0,260.56,North,Offline,New
123931,2023-01-08,2202,5020,Health & Wellness,1,41.64,0.0,41.64,East,Online,Returning
102020,2023-01-08,4689,5458,Beauty & Personal Care,3,119.83,0.15,305.57,West,Offline,Returning
103181,2023-01-09,4715,5369,Beauty & Personal Care,3,55.44,0.05,158.0,Central,Online,New
140910,2023-01-09,5587,5306,Clothing,8,26.06,0.0,208.48,East,Online,Returning
116123,2023-01-09,7691,5385,Automotive,2,388.03,0.05,737.26,West,Online,Returning
113160,2023-01-09,7752,5292,Electronics,3,1715.97,0.05,4890.51,Central,Online,New
127900,2023-01-09,5923,5061,Toys & Games,1,42.81,0.0,42.81,East,Online,New
136168,2023-01-09,1403,5061,Clothing,4,71.81,0.05,272.88,North,Online,Returning
143392,2023-01-09,9266,5169,Beauty & Personal Care,2,72.7,0.0,145.4,North,Online,New
142714,2023-01-09,10393,5046,Books,1,12.6,0.0,12.6,East,Offline,New
135785,2023-01-09,8530,5268,Sports & Outdoors,2,427.44,0.0,854.88,North,Online,New
107518,2023-01-10,7988,5082,Electronics,1,1550.76,0.0,1550.76,South,Offline,Returning
141345,2023-01-10,2812,5263,Automotive,1,603.75,0.0,603.75,North,Online,Returning
101212,2023-01-10,9409,5117,Clothing,1,37.84,0.0,37.84,North,Online,New
116801,2023-01-10,7012,5140,Clothing,1,114.36,0.2,91.49,East,Online,Returning
125378,2023-01-10,6177,5032,Electronics,1,1504.28,0.05,1429.07,West,Online,Returning
107483,2023-01-10,1322,5099,Beauty & Personal Care,3,49.34,0.1,133.22,South,Offline,Returning
127709,2023-01-10,8565,5187,Beauty & Personal Care,3,149.27,0.0,447.81,West,Offline,Returning
120264,2023-01-10,8855,5437,Home & Kitchen,3,57.04,0.0,171.12,East,Offline,Returning
136319,2023-01-10,4961,5039,Electronics,2,780.69,0.0,1561.38,West,Offline,Returning
121862,2023-01-10,3623,5369,Office Supplies,1,68.18,0.0,68.18,South,Online,Returning
115053,2023-01-10,1317,5225,Beauty & Personal Care,2,42.69,0.2,68.3,East,Online,New
143715,2023-01-10,6600,5320,Home & Kitchen,1,429.69,0.0,429.69,South,Online,Returning
146379,2023-01-10,7006,5382,Electronics,1,786.95,0.05,747.6,Central,Online,Returning
135719,2023-01-10,10776,5129,Grocery,5,68.8,0.0,344.0,Central,Online,Returning
106372,2023-01-10,6015,5077,Toys & Games,1,142.5,0.1,128.25,West,Online,Returning
116179,2023-01-10,5071,5046,Clothing,6,43.68,0.0,262.08,West,Offline,New
132700,2023-01-11,6190,5484,Automotive,2,213.98,0.2,342.37,Central,Online,Returning
108013,2023-01-11,3835,5302,Sports & Outdoors,1,516.79,0.1,465.11,West,Online,Returning
133898,2023-01-11,8596,5131,Electronics,1,653.12,0.0,653.12,North,Online,New
116954,2023-01-11,10742,5001,Home & Kitchen,1,85.16,0.05,80.9,North,Online,New
120170,2023-01-11,7476,5462,Automotive,1,873.79,0.15,742.72,South,Online,New
108924,2023-01-11,2469,5106,Pet Supplies,8,17.68,0.0,141.44,East,Offline,Returning
118491,2023-01-12,7180,5035,Automotive,2,800.38,0.15,1360.65,North,Online,Returning
146702,2023-01-12,5538,5284,Grocery,2,31.73,0.0,63.46,East,Online,Returning
108438,2023-01-12,4204,5145,Electronics,3,1838.93,0.25,4137.59,North,Online,Returning
133491,2023-01-12,10956,5002,Clothing,2,180.6,0.2,288.96,Central,Online,Returning
111973,2023-01-12,10814,5242,Home & Kitchen,2,367.63,0.15,624.97,East,Online,Returning
131702,2023-01-12,6038,5173,Grocery,1,28.7,0.2,22.96,West,Online,Returning
101717,2023-01-12,2852,5183,Grocery,4,29.81,0.2,95.39,Central,Online,Returning
107006,2023-01-12,10579,5094,Books,7,47.13,0.05,313.41,West,Online,Returning
136953,2023-01-13,8524,5149,Home & Kitchen,3,198.37,0.15,505.84,East,Online,New
121942,2023-01-13,5659,5369,Electronics,2,1328.65,0.0,2657.3,West,Offline,New
147895,2023-01-13,2431,5042,Grocery,5,5.32,0.15,22.61,West,Offline,Returning
117185,2023-01-13,6084,5233,Sports & Outdoors,4,91.05,0.0,364.2,South,Online,Returning
107281,2023-01-13,9769,5023,Clothing,1,58.27,0.15,49.53,East,Offline,Returning
104063,2023-01-13,9643,5082,Grocery,4,9.12,0.2,29.18,South,Online,New
101785,2023-01-13,5661,5459,Automotive,10,529.55,0.05,5030.72,South,Offline,New
133127,2023-01-13,2234,5073,Electronics,1,1774.16,0.0,1774.16,North,Online,New
122413,2023-01-13,9134,5174,Toys & Games,2,121.0,0.2,193.6,South,Online,Returning
120397,2023-01-13,10313,5438,Electronics,2,909.07,0.0,1818.14,North,Offline,Returning
133009,2023-01-13,9686,5329,Beauty & Personal Care,1,145.88,0.0,145.88,North,Offline,New
118812,2023-01-14,3832,5319,Clothing,5,184.33,0.2,737.32,West,Online,New
128523,2023-01-14,8735,5077,Books,2,35.55,0.05,67.54,East,Online,New
149041,2023-01-14,2544,5102,Automotive,2,544.81,0.05,1035.14,South,Online,Returning
139287,2023-01-14,8868,5465,Electronics,1,831.51,0.2,665.21,North,Offline,Returning
122269,2023-01-14,9987,5338,Automotive,2,591.69,0.05,1124.21,North,Online,Returning
107204,2023-01-14,10015,5244,Electronics,3,446.44,0.0,1339.32,North,Offline,New
131799,2023-01-14,7715,5395,Sports & Outdoors,2,644.07,0.0,1288.14,Central,Offline,Returning
100442,2023-01-14,6033,5418,Beauty & Personal Care,1,93.95,0.05,89.25,West,Offline,Returning
133166,2023-01-14,6215,5324,Toys & Games,2,106.37,0.05,202.1,Central,Online,Returning
120480,2023-01-14,4297,5275,Electronics,5,1040.52,0.05,4942.47,East,Online,Returning
113100,2023-01-14,9179,5007,Books,2,31.6,0.0,63.2,West,Online,Returning
147896,2023-01-14,4451,5100,Pet Supplies,5,35.12,0.2,140.48,South,Online,Returning
124186,2023-01-14,7044,5467,Books,3,18.67,0.1,50.41,West,Offline,Returning
122558,2023-01-14,8168,5434,Beauty & Personal Care,1,101.36,0.2,81.09,North,Online,Returning
123494,2023-01-14,10578,5340,Grocery,4,27.64,0.2,88.45,Central,Online,Returning
145784,2023-01-15,7504,5377,Clothing,1,140.42,0.15,119.36,Central,Offline,New
101851,2023-01-15,10101,5087,Clothing,5,174.69,0.0,873.45,North,Offline,Returning
125612,2023-01-15,5992,5392,Books,1,41.6,0.1,37.44,East,Online,Returning
115401,2023-01-15,9942,5289,Beauty & Personal Care,3,24.89,0.1,67.2,Central,Online,New
108400,2023-01-15,1432,5296,Books,1,8.77,0.05,8.33,West,Online,Returning
127947,2023-01-15,3160,5348,Books,3,45.04,0.0,135.12,South,Online,Returning
115820,2023-01-15,6563,5488,Grocery,1,45.7,0.1,41.13,North,Offline,Returning
101614,2023-01-15,5692,5161,Clothing,4,143.36,0.0,573.44,Central,Offline,Returning
100281,2023-01-15,8905,5180,Automotive,1,520.11,0.1,468.1,North,Offline,New
116130,2023-01-15,10956,5156,Pet Supplies,1,64.75,0.0,64.75,Central,Online,New
116200,2023-01-15,3376,5278,Toys & Games,3,104.03,0.1,280.88,East,Offline,New
128261,2023-01-15,7432,5326,Books,3,22.55,0.0,67.65,West,Online,New
141040,2023-01-15,7014,5175,Pet Supplies,1,127.69,0.05,121.31,Central,Offline,Returning
145255,2023-01-15,4392,5407,Office Supplies,1,130.71,0.1,117.64,Central,Offline,Returning
115252,2023-01-15,4360,5255,Electronics,8,190.15,0.0,1521.2,East,Offline,Returning
131537,2023-01-15,8561,5186,Health & Wellness,3,255.06,0.0,765.18,South,Online,Returning
113190,2023-01-15,1499,5232,Clothing,1,32.25,0.15,27.41,Central,Online,Returning
123205,2023-01-15,3643,5365,Electronics,1,1915.77,0.0,1915.77,East,Online,Returning
126266,2023-01-15,1522,5307,Clothing,2,68.58,0.0,137.16,West,Offline,Returning
147017,2023-01-16,5514,5476,Clothing,1,141.99,0.0,141.99,North,Online,Returning
137040,2023-01-16,8281,5012,Grocery,1,13.93,0.0,13.93,Central,Online,New
106366,2023-01-16,7982,5313,Toys & Games,3,33.28,0.1,89.86,South,Online,Returning
119021,2023-01-16,9539,5498,Books,3,32.32,0.15,82.42,East,Offline,Returning
127415,2023-01-16,2861,5095,Books,1,57.14,0.0,57.14,East,Offline,Returning
113273,2023-01-16,7060,5378,Health & Wellness,1,206.65,0.05,196.32,East,Online,New
127394,2023-01-16,5087,5190,Beauty & Personal Care,2,18.1,0.05,34.39,North,Offline,New
103652,2023-01-16,8708,5085,Electronics,7,955.79,0.0,6690.53,North,Online,Returning
110610,2023-01-16,8513,5237,Sports & Outdoors,2,511.89,0.2,819.02,West,Offline,Returning
145908,2023-01-16,9339,5369,Office Supplies,1,115.27,0.05,109.51,West,Online,Returning
102492,2023-01-16,8785,5320,Books,1,11.77,0.0,11.77,West,Offline,Returning
144940,2023-01-16,4496,5477,Beauty & Personal Care,7,65.58,0.05,436.11,East,Online,Returning
115307,2023-01-16,1676,5015,Grocery,1,84.15,0.05,79.94,South,Offline,New
146875,2023-01-16,7279,5050,Toys & Games,1,91.33,0.0,91.33,South,Offline,New
116042,2023-01-16,4748,5221,Grocery,2,50.76,0.05,96.44,South,Online,Returning
117299,2023-01-16,6001,5294,Home & Kitchen,1,376.65,0.0,376.65,South,Online,New
114905,2023-01-16,4924,5059,Home & Kitchen,2,224.67,0.0,449.34,Central,Online,New
131783,2023-01-16,3981,5027,Clothing,2,138.54,0.0,277.08,West,Online,Returning
100610,2023-01-17,10888,5001,Electronics,2,1569.01,0.15,2667.32,East,Online,New
125465,2023-01-17,4433,5046,Electronics,3,1954.94,0.0,5864.82,West,Online,New
123449,2023-01-17,8179,5423,Health & Wellness,2,226.16,0.1,407.09,South,Online,Returning
103792,2023-01-17,4284,5043,Home & Kitchen,4,105.44,0.05,400.67,North,Offline,Returning
136516,2023-01-17,9350,5449,Books,5,19.45,0.1,87.52,North,Online,New
138929,2023-01-17,1485,5185,Automotive,1,331.13,0.2,264.9,South,Offline,Returning
132415,2023-01-17,10239,5404,Sports & Outdoors,2,642.79,0.05,1221.3,West,Offline,New
147807,2023-01-17,1192,5249,Office Supplies,5,69.61,0.05,330.65,North,Offline,Returning
111240,2023-01-17,6628,5441,Health & Wellness,1,167.35,0.0,167.35,East,Online,New
135529,2023-01-17,6201,5416,Sports & Outdoors,2,122.23,0.05,232.24,Central,Offline,Returning
117848,2023-01-17,1164,5229,Beauty & Personal Care,1,101.18,0.0,101.18,Central,Offline,New
120645,2023-01-17,10449,5114,Clothing,10,194.84,0.05,1850.98,Central,Online,New
123390,2023-01-17,5373,5288,Beauty & Personal Care,2,138.01,0.2,220.82,West,Offline,New
101527,2023-01-17,2937,5267,Electronics,2,1156.47,0.0,2312.94,East,Online,Returning
131345,2023-01-17,9238,5317,Electronics,1,341.01,0.0,341.01,North,Online,Returning
110609,2023-01-17,8260,5146,Beauty & Personal Care,1,105.09,0.2,84.07,West,Online,Returning
148159,2023-01-17,3600,5178,Beauty & Personal Care,2,78.85,0.05,149.81,South,Offline,Returning
129582,2023-01-17,1256,5104,Automotive,1,723.0,0.0,723.0,South,Online,New
143071,2023-01-17,8828,5299,Clothing,2,103.23,0.0,206.46,West,Online,New
118736,2023-01-17,2951,5432,Home & Kitchen,1,499.05,0.05,474.1,South,Online,Returning
126489,2023-01-17,10152,5365,Electronics,4,210.64,0.0,842.56,East,Offline,Returning
129261,2023-01-17,7500,5364,Clothing,1,67.94,0.0,67.94,West,Online,Returning
119604,2023-01-17,5381,5058,Home & Kitchen,2,240.02,0.05,456.04,Central,Offline,Returning
113540,2023-01-17,1906,5245,Sports & Outdoors,2,796.7,0.0,1593.4,South,Online,Returning
130661,2023-01-17,8843,5090,Sports & Outdoors,2,303.26,0.15,515.54,West,Online,New
143064,2023-01-17,1804,5291,Grocery,1,75.45,0.05,71.68,South,Online,New
137289,2023-01-17,8801,5265,Health & Wellness,1,109.44,0.25,82.08,West,Online,New
137759,2023-01-18,9390,5198,Automotive,1,353.75,0.05,336.06,East,Online,New
115795,2023-01-18,3373,5192,Beauty & Personal Care,1,148.11,0.2,118.49,North,Online,Returning
129063,2023-01-18,7196,5136,Clothing,4,72.7,0.2,232.64,North,Online,Returning
122624,2023-01-18,5975,5143,Toys & Games,1,18.82,0.2,15.06,West,Online,Returning
137147,2023-01-18,8966,5305,Clothing,3,113.35,0.05,323.05,East,Offline,New
147161,2023-01-18,2777,5476,Health & Wellness,4,272.22,0.0,1088.88,East,Online,Returning
101105,2023-01-18,6169,5019,Toys & Games,6,65.78,0.1,355.21,Central,Offline,Returning
122219,2023-01-18,8200,5079,Sports & Outdoors,1,589.44,0.1,530.5,South,Online,Returning
101094,2023-01-18,8105,5485,Health & Wellness,1,235.25,0.15,199.96,East,Offline,New
108754,2023-01-18,2202,5229,Electronics,1,1637.94,0.15,1392.25,South,Offline,Returning
135323,2023-01-18,3941,5274,Pet Supplies,2,83.17,0.0,166.34,North,Online,Returning
143878,2023-01-18,5325,5343,Toys & Games,1,12.23,0.05,11.62,North,Offline,New
126122,2023-01-18,9912,5500,Automotive,2,280.4,0.25,420.6,North,Offline,Returning
106739,2023-01-18,1466,5240,Toys & Games,1,89.29,0.1,80.36,East,Online,New
111848,2023-01-18,6894,5241,Electronics,3,886.86,0.1,2394.52,Central,Online,Returning
144101,2023-01-18,6160,5495,Grocery,2,99.23,0.1,178.61,East,Offline,Returning
132257,2023-01-18,8746,5445,Books,3,43.88,0.0,131.64,East,Online,New
144120,2023-01-18,10161,5139,Electronics,2,400.28,0.0,800.56,Central,Offline,Returning
111578,2023-01-18,7730,5312,Electronics,1,1857.93,0.05,1765.03,North,Online,New
120857,2023-01-18,2614,5158,Toys & Games,1,50.9,0.05,48.36,North,Offline,Returning
112476,2023-01-18,10925,5259,Sports & Outdoors,1,467.33,0.0,467.33,North,Online,New
130024,2023-01-18,5860,5016,Health & Wellness,6,131.22,0.1,708.59,North,Online,New
127631,2023-01-18,4574,5032,Home & Kitchen,7,354.82,0.1,2235.37,Central,Online,Returning
126638,2023-01-18,7948,5287,Grocery,2,77.29,0.0,154.58,East,Online,Returning
101224,2023-01-18,3727,5222,Sports & Outdoors,3,136.88,0.2,328.51,North,Offline,New
109143,2023-01-19,7813,5001,Beauty & Personal Care,3,70.48,0.15,179.72,Central,Online,Returning
131863,2023-01-19,6064,5163,Toys & Games,1,111.37,0.0,111.37,North,Offline,Returning
147184,2023-01-19,10373,5102,Home & Kitchen,2,388.56,0.0,777.12,East,Offline,Returning
128219,2023-01-19,9384,5395,Automotive,4,893.88,0.2,2860.42,North,Online,New
140741,2023-01-19,7916,5458,Books,2,34.52,0.15,58.68,South,Online,Returning
120527,2023-01-19,5788,5410,Office Supplies,9,42.51,0.15,325.2,West,Offline,New
110853,2023-01-19,8929,5256,Health & Wellness,5,69.53,0.0,347.65,South,Offline,New
149899,2023-01-19,9254,5292,Office Supplies,4,68.21,0.1,245.56,Central,Online,Returning
105496,2023-01-19,8824,5211,Beauty & Personal Care,2,86.91,0.0,173.82,East,Online,Returning
122138,2023-01-19,9926,5289,Grocery,6,76.63,0.05,436.79,South,Online,New
100205,2023-01-19,3562,5209,Electronics,3,281.45,0.15,717.7,Central,Online,Returning
117227,2023-01-19,4069,5115,Toys & Games,1,61.12,0.15,51.95,Central,Offline,Returning
116579,2023-01-19,7785,5424,Clothing,2,188.21,0.1,338.78,North,Online,Returning
123136,2023-01-19,1552,5422,Sports & Outdoors,1,127.75,0.0,127.75,South,Online,New
111727,2023-01-19,9418,5118,Health & Wellness,6,172.7,0.05,984.39,East,Offline,New
147324,2023-01-19,9898,5084,Electronics,3,1602.79,0.0,4808.37,West,Offline,New
129310,2023-01-19,5010,5042,Books,1,47.65,0.0,47.65,South,Online,Returning
116499,2023-01-19,8623,5193,Beauty & Personal Care,2,47.35,0.15,80.5,East,Online,New
142753,2023-01-19,1855,5087,Electronics,2,632.05,0.05,1200.89,Central,Online,Returning
112719,2023-01-19,9509,5372,Grocery,1,10.22,0.05,9.71,West,Offline,Returning
119363,2023-01-19,9015,5102,Home & Kitchen,1,83.23,0.0,83.23,West,Offline,New
147434,2023-01-19,10659,5407,Toys & Games,1,116.03,0.15,98.63,East,Offline,New
121152,2023-01-20,6819,5162,Clothing,4,17.08,0.0,68.32,North,Online,Returning
122181,2023-01-20,10123,5371,Books,1,20.63,0.0,20.63,East,Offline,Returning
106039,2023-01-20,4560,5482,Sports & Outdoors,1,732.44,0.0,732.44,North,Online,New
137746,2023-01-20,10618,5390,Grocery,3,37.98,0.05,108.24,West,Online,Returning
106944,2023-01-20,10576,5104,Beauty & Personal Care,5,22.88,0.0,114.4,South,Offline,Returning
124447,2023-01-20,8615,5445,Health & Wellness,2,192.27,0.05,365.31,West,Online,New
109766,2023-01-20,1450,5200,Clothing,1,176.24,0.05,167.43,Central,Online,Returning
107417,2023-01-20,2608,5198,Electronics,1,88.6,0.0,88.6,West,Online,New
119840,2023-01-20,3667,5491,Health & Wellness,1,127.43,0.0,127.43,East,Online,Returning
102119,2023-01-20,2897,5197,Home & Kitchen,1,39.83,0.05,37.84,North,Online,New
131421,2023-01-20,9161,5253,Electronics,2,139.5,0.0,279.0,North,Online,New
107481,2023-01-20,1774,5145,Books,3,24.43,0.0,73.29,North,Online,Returning
133727,2023-01-20,6220,5411,Books,1,28.81,0.05,27.37,West,Online,Returning
144383,2023-01-20,5686,5016,Beauty & Personal Care,1,84.78,0.25,63.58,Central,Online,New
118776,2023-01-20,10911,5019,Electronics,1,135.11,0.0,135.11,South,Online,New
135459,2023-01-20,4688,5158,Grocery,2,26.2,0.0,52.4,South,Offline,Returning
134710,2023-01-20,5143,5348,Books,2,11.01,0.0,22.02,East,Offline,Returning
136976,2023-01-20,1127,5481,Toys & Games,4,147.63,0.1,531.47,East,Offline,Returning
145778,2023-01-20,8781,5295,Sports & Outdoors,2,683.73,0.1,1230.71,North,Online,Returning
133764,2023-01-20,6616,5424,Toys & Games,1,134.89,0.05,128.15,West,Offline,Returning
139713,2023-01-20,5127,5213,Office Supplies,1,156.05,0.0,156.05,South,Online,Returning
137985,2023-01-20,5857,5426,Automotive,7,741.81,0.05,4933.04,South,Online,Returning
139396,2023-01-20,3662,5153,Home & Kitchen,5,403.13,0.0,2015.65,South,Offline,Returning
141868,2023-01-20,9724,5404,Home & Kitchen,4,283.32,0.05,1076.62,East,Offline,Returning
145710,2023-01-20,1337,5023,Electronics,1,1513.53,0.1,1362.18,North,Online,Returning
132967,2023-01-20,6197,5152,Health & Wellness,2,216.07,0.25,324.1,East,Online,Returning
103505,2023-01-20,10171,5066,Clothing,2,52.37,0.0,104.74,North,Offline,Returning
102259,2023-01-20,6303,5308,Sports & Outdoors,3,515.65,0.05,1469.6,East,Offline,Returning
116012,2023-01-21,2201,5414,Electronics,1,501.73,0.2,401.38,Central,Offline,New
113245,2023-01-21,5798,5460,Home & Kitchen,4,293.19,0.1,1055.48,West,Offline,Returning
141108,2023-01-21,6164,5102,Sports & Outdoors,1,295.91,0.1,266.32,North,Online,Returning
115451,2023-01-21,8025,5473,Beauty & Personal Care,3,16.99,0.1,45.87,Central,Offline,New
146836,2023-01-21,1237,5307,Beauty & Personal Care,1,121.52,0.0,121.52,West,Online,Returning
124887,2023-01-21,2451,5107,Pet Supplies,9,124.82,0.1,1011.04,South,Online,Returning
147174,2023-01-21,1193,5364,Sports & Outdoors,5,583.0,0.0,2915.0,East,Online,New
104158,2023-01-21,1186,5496,Sports & Outdoors,5,344.36,0.2,1377.44,Central,Online,Returning
120537,2023-01-21,8129,5150,Automotive,4,508.41,0.0,2033.64,East,Offline,New
146935,2023-01-21,5804,5196,Electronics,1,1338.28,0.1,1204.45,South,Online,Returning
148622,2023-01-21,6184,5422,Toys & Games,2,117.48,0.1,211.46,East,Online,Returning
139017,2023-01-21,8411,5157,Beauty & Personal Care,1,138.17,0.0,138.17,Central,Offline,New
126963,2023-01-21,7631,5401,Beauty & Personal Care,1,55.55,0.0,55.55,Central,Offline,Returning
144004,2023-01-21,4522,5235,Home & Kitchen,4,492.42,0.0,1969.68,West,Online,Returning
136544,2023-01-21,9254,5148,Toys & Games,1,133.96,0.1,120.56,North,Online,New
127160,2023-01-21,7154,5352,Books,1,30.13,0.2,24.1,North,Online,Returning
133327,2023-01-21,10194,5266,Clothing,2,138.17,0.1,248.71,North,Online,New
125086,2023-01-21,2442,5425,Beauty & Personal Care,2,149.7,0.1,269.46,East,Online,Returning
147963,2023-01-21,8420,5336,Automotive,1,529.4,0.25,397.05,Central,Offline,New
108286,2023-01-22,2617,5037,Clothing,3,53.25,0.15,135.79,East,Online,New
145444,2023-01-22,7555,5006,Electronics,3,1325.81,0.0,3977.43,Central,Online,New
123976,2023-01-22,2189,5459,Books,4,51.08,0.15,173.67,South,Offline,Returning
105467,2023-01-22,5980,5294,Grocery,1,75.08,0.15,63.82,North,Online,Returning
109978,2023-01-22,8785,5350,Automotive,3,715.72,0.15,1825.09,West,Online,Returning
112717,2023-01-22,7864,5110,Home & Kitchen,1,148.17,0.1,133.35,Central,Online,Returning
147869,2023-01-22,3916,5255,Clothing,2,183.49,0.1,330.28,West,Online,Returning
115901,2023-01-22,1767,5388,Health & Wellness,1,286.92,0.1,258.23,South,Online,Returning
103079,2023-01-22,8609,5285,Clothing,2,64.15,0.1,115.47,Central,Online,Returning
143078,2023-01-22,3119,5413,Grocery,8,98.43,0.1,708.7,South,Online,Returning
101381,2023-01-22,9054,5213,Books,1,36.18,0.1,32.56,North,Offline,Returning
128335,2023-01-22,10264,5233,Office Supplies,4,157.08,0.05,596.9,North,Online,Returning
142063,2023-01-22,8333,5289,Home & Kitchen,6,456.54,0.15,2328.35,South,Offline,Returning
131380,2023-01-22,5676,5236,Books,2,46.14,0.05,87.67,Central,Online,Returning
127812,2023-01-22,1736,5353,Grocery,3,87.04,0.1,235.01,East,Offline,New
132283,2023-01-22,3349,5402,Health & Wellness,1,160.87,0.15,136.74,South,Offline,Returning
148782,2023-01-22,8817,5191,Grocery,2,93.85,0.0,187.7,North,Online,Returning
129721,2023-01-22,6019,5450,Automotive,1,84.06,0.0,84.06,South,Offline,Returning
136304,2023-01-22,7464,5473,Electronics,1,224.17,0.05,212.96,West,Offline,New
124528,2023-01-22,4592,5437,Home & Kitchen,1,113.33,0.0,113.33,West,Online,Returning
111172,2023-01-22,7652,5319,Health & Wellness,1,172.68,0.05,164.05,North,Offline,New
125206,2023-01-22,9380,5247,Automotive,1,663.86,0.0,663.86,West,Offline,New
139061,2023-01-23,7906,5259,Electronics,1,388.22,0.15,329.99,South,Online,Returning
121133,2023-01-23,4245,5287,Clothing,2,32.2,0.05,61.18,South,Online,Returning
142375,2023-01-23,6486,5487,Clothing,6,130.95,0.05,746.41,North,Online,Returning
132596,2023-01-23,2765,5212,Home & Kitchen,2,131.58,0.15,223.69,East,Online,Returning
106319,2023-01-23,9860,5201,Clothing,5,108.14,0.2,432.56,West,Offline,Returning
125450,2023-01-23,10530,5053,Sports & Outdoors,4,718.09,0.1,2585.12,East,Offline,Returning
107766,2023-01-23,3792,5108,Grocery,6,67.48,0.0,404.88,Central,Online,Returning
134088,2023-01-23,8809,5236,Electronics,1,336.84,0.15,286.31,Central,Online,Returning
120578,2023-01-23,9381,5454,Grocery,6,29.4,0.25,132.3,Central,Online,New
113889,2023-01-23,4402,5271,Toys & Games,2,32.5,0.0,65.0,Central,Offline,Returning
100964,2023-01-23,3524,5441,Electronics,5,1366.91,0.05,6492.82,Central,Online,Returning
